participants_id, size_distance, time_in_seconds, time_per_section
1 , 7.5 , 114.05
1 , 7.5 , 73.54
1 , 7.5 , 104.68
1 , 7.5 , 76.54
1 , 7.5 , , 92.2025
1 , 20 , 188.13
1 , 20 , 56.85
1 , 20 , 93.46
1 , 20 , 79.12
1 , 20 , , 104.39
2 , 20 , 188.34
2 , 20 , 155.28
2 , 20 , 114.65
2 , 20 , 117.28
2 , 20 , , 143.8875
2 , 12.5 , 112.9
2 , 12.5 , 74.02
2 , 12.5 , 79.23
2 , 12.5 , 125.39
2 , 12.5 , , 97.885
21 , 15 , 131.7
21 , 15 , 186.2
21 , 15 , 91.17
21 , 15 , 104.47
21 , 15 , , 128.385
21 , 20 , 126.63
21 , 20 , 83.77
21 , 20 , 84.73
21 , 20 , 178.37
21 , 20 , , 118.375
4 , 15 , 223.35
4 , 15 , 325.11
4 , 15 , 342.62
4 , 15 , 157.17
4 , 15 , , 262.0625
4 , 5 , 239.67
4 , 5 , 100.87
4 , 5 , 117.15
4 , 5 , 278.35
4 , 5 , , 184.01
5 , 25 , 100
5 , 25 , 109.94
5 , 25 , 110.92
5 , 25 , 86.21
5 , 25 , , 101.7675
5 , 15 , 140.26
5 , 15 , 116.9
5 , 15 , 143.33
5 , 15 , 64.16
5 , 15 , , 116.1625
6 , 22.5 , 183.63
6 , 22.5 , 167.33
6 , 22.5 , 218.85
6 , 22.5 , 123.43
6 , 22.5 , , 173.31
6 , 10 , 201.24
6 , 10 , 114.82
6 , 10 , 133.92
6 , 10 , 85.95
6 , 10 , , 133.98250000000002
7 , 10 , 122.4
7 , 10 , 218.44
7 , 10 , 171.15
7 , 10 , 149.58
7 , 10 , , 165.3925
7 , 2.5 , 286.97
7 , 2.5 , 106.03
7 , 2.5 , 121.7
7 , 2.5 , 205.72
7 , 2.5 , , 180.10500000000002
8 , 5 , 163.97
8 , 5 , 232.16
8 , 5 , 163.75
8 , 5 , 155.18
8 , 5 , , 178.765
8 , 17.5 , 200.58
8 , 17.5 , 103.27
8 , 17.5 , 107.84
8 , 17.5 , 242.34
8 , 17.5 , , 163.50750000000002
9 , 17.5 , 136.68
9 , 17.5 , 176.09
9 , 17.5 , 218.95
9 , 17.5 , 99.04
9 , 17.5 , , 157.69
9 , 7.5 , 111.49
9 , 7.5 , 99.16
9 , 7.5 , 116.09
9 , 7.5 , 86.19
9 , 7.5 , , 103.2325
10 , 12.5 , 115.48
10 , 12.5 , 260.26
10 , 12.5 , 135.78
10 , 12.5 , 143.6
10 , 12.5 , , 163.78
10 , 25 , 171.54
10 , 25 , 66.75
10 , 25 , 106.02
10 , 25 , 245.73
10 , 25 , , 147.51
11 , 2.5 , 248.78
11 , 2.5 , 108.24
11 , 2.5 , 143.02
11 , 2.5 , 71.68
11 , 2.5 , , 142.93
11 , 22.5 , 155.41
11 , 22.5 , 101.04
11 , 22.5 , 92.29
11 , 22.5 , 60.27
11 , 22.5 , , 102.2525
12 , 10 , 135.7
12 , 10 , 216.78
12 , 10 , 140.23
12 , 10 , 120.2
12 , 10 , , 153.22750000000002
12 , 22.5 , 150.23
12 , 22.5 , 121.97
12 , 22.5 , 90.81
12 , 22.5 , 243.9
12 , 22.5 , , 151.7275
13 , 20 , 104.18
13 , 20 , 96.2
13 , 20 , 114.78
13 , 20 , 91.93
13 , 20 , , 101.7725
13 , 10 , 86.87
13 , 10 , 56.24
13 , 10 , 71.16
13 , 10 , 71.11
13 , 10 , , 71.345
14 , 2.5 , 402.49
14 , 2.5 , 226.88
14 , 2.5 , 193.07
14 , 2.5 , 144.01
14 , 2.5 , , 241.6125
14 , 17.5 , 214.38
14 , 17.5 , 138.87
14 , 17.5 , 108.93
14 , 17.5 , 112.05
14 , 17.5 , , 143.5575
15 , 7.5 , 98.65
15 , 7.5 , 157.24
15 , 7.5 , 79.56
15 , 7.5 , 160.7
15 , 7.5 , , 124.03750000000001
15 , 25 , 97.02
15 , 25 , 45.9
15 , 25 , 73.31
15 , 25 , 132.62
15 , 25 , , 87.2125
16 , 5 , 97.1
16 , 5 , 122.66
16 , 5 , 124.85
16 , 5 , 60.3
16 , 5 , , 101.2275
16 , 15 , 112.4
16 , 15 , 83.98
16 , 15 , 101.91
16 , 15 , 77.97
16 , 15 , , 94.065
17 , 17.5 , 136.35
17 , 17.5 , 174.27
17 , 17.5 , 96.26
17 , 17.5 , 149.83
17 , 17.5 , , 139.1775
17 , 12.5 , 146.36
17 , 12.5 , 63.49
17 , 12.5 , 113.45
17 , 12.5 , 254.5
17 , 12.5 , , 144.45
18 , 22.5 , 132.06
18 , 22.5 , 117.53
18 , 22.5 , 153.58
18 , 22.5 , 84.08
18 , 22.5 , , 121.8125
18 , 7.5 , 145.8
18 , 7.5 , 85.26
18 , 7.5 , 116.61
18 , 7.5 , 79.12
18 , 7.5 , , 106.6975
19 , 12.5 , 238.08
19 , 12.5 , 132.61
19 , 12.5 , 87.53
19 , 12.5 , 140.22
19 , 12.5 , , 149.61
19 , 2.5 , 114.63
19 , 2.5 , 123.44
19 , 2.5 , 141.94
19 , 2.5 , 199.6
19 , 2.5 , , 144.9025
20 , 25 , 177.68
20 , 25 , 135.92
20 , 25 , 134.78
20 , 25 , 78.63
20 , 25 , , 131.7525
20 , 5 , 210.28
20 , 5 , 167.47
20 , 5 , 156.27
20 , 5 , 113.07
20 , 5 , , 161.77249999999998
